domainID,siteID,plotID,type,Latitude,Longitude,geodeticDatum,elevation
D18,TOOL,TOOL_039,dwarfScrub,68.636291,-149.586567,WGS84,717.4
D18,TOOL,TOOL_040,dwarfScrub,68.629843,-149.585798,WGS84,728.8
D18,TOOL,TOOL_079,dwarfScrub,68.624978,-149.327697,WGS84,864.2
D18,TOOL,TOOL_080,dwarfScrub,68.626408,-149.321207,WGS84,865.6
D18,TOOL,TOOL_081,sedgeHerbaceous,68.642119,-149.353114,WGS84,858.1
D18,TOOL,TOOL_082,dwarfScrub,68.575687,-149.515548,WGS84,852
D18,TOOL,TOOL_083,dwarfScrub,68.62396,-149.599168,WGS84,718.9
D18,TOOL,TOOL_087,sedgeHerbaceous,68.644437,-149.581616,WGS84,714.8
D18,TOOL,TOOL_088,shrubScrub,68.645146,-149.380826,WGS84,782.5
D18,TOOL,TOOL_089,shrubScrub,68.645112,-149.332,WGS84,849
D19,HEAL,HEAL_035,shrubScrub,63.87629,-149.241179,WGS84,674.9
D19,HEAL,HEAL_036,shrubScrub,63.881427,-149.198683,WGS84,621.5
D19,HEAL,HEAL_037,shrubScrub,63.878625,-149.225342,WGS84,686.7
D19,HEAL,HEAL_038,shrubScrub,63.880912,-149.216355,WGS84,666
D19,HEAL,HEAL_039,shrubScrub,63.881591,-149.206627,WGS84,641.3
D19,HEAL,HEAL_040,shrubScrub,63.875741,-149.255683,WGS84,678.7
D19,HEAL,HEAL_041,shrubScrub,63.87887,-149.262034,WGS84,668.8
D19,HEAL,HEAL_042,dwarfScrub,63.874263,-149.246411,WGS84,688
D19,HEAL,HEAL_043,shrubScrub,63.879294,-149.23395,WGS84,668
D19,HEAL,HEAL_044,dwarfScrub,63.879,-149.183862,WGS84,621.8
D19,DEJU,DEJU_033,evergreenForest,63.864961,-145.73574,WGS84,549.8
D19,DEJU,DEJU_034,shrubScrub,63.93729,-145.755755,WGS84,446.7
D19,DEJU,DEJU_035,shrubScrub,63.932166,-145.754125,WGS84,450.9
D19,DEJU,DEJU_036,shrubScrub,63.921103,-145.752202,WGS84,458.1
D19,DEJU,DEJU_037,shrubScrub,63.916239,-145.750582,WGS84,459.4
D19,DEJU,DEJU_039,evergreenForest,63.851503,-145.736933,WGS84,540.9
D19,DEJU,DEJU_040,evergreenForest,63.873285,-145.732912,WGS84,524.7
D19,DEJU,DEJU_041,evergreenForest,63.897916,-145.780676,WGS84,493.6
D19,DEJU,DEJU_042,woodyWetlands,63.844486,-145.737279,WGS84,537.7
D19,DEJU,DEJU_043,evergreenForest,63.887112,-145.778116,WGS84,505.9
D19,BONA,BONA_034,deciduousForest,65.168706,-147.491288,WGS84,366.3
D19,BONA,BONA_035,deciduousForest,65.159013,-147.505385,WGS84,297.5
D19,BONA,BONA_036,evergreenForest,65.19204,-147.530326,WGS84,702.7
D19,BONA,BONA_037,shrubScrub,65.162259,-147.514873,WGS84,400.7
D19,BONA,BONA_038,evergreenForest,65.160949,-147.488764,WGS84,268
D19,BONA,BONA_039,evergreenForest,65.193418,-147.52138,WGS84,728.5
D19,BONA,BONA_040,deciduousForest,65.165769,-147.494593,WGS84,310.5
D19,BONA,BONA_041,deciduousForest,65.179794,-147.490992,WGS84,564.3
D19,BONA,BONA_042,woodyWetlands,65.152905,-147.48347,WGS84,218.5
D19,BONA,BONA_043,mixedForest,65.1542,-147.516165,WGS84,256
D18,BARR,BARR_041,sedgeHerbaceous,71.25365,-156.51049,WGS84,5.7
D18,BARR,BARR_042,emergentHerbaceousWetlands,71.257755,-156.555204,WGS84,5.7
D18,BARR,BARR_043,emergentHerbaceousWetlands,71.257078,-156.564525,WGS84,5.4
D18,BARR,BARR_045,sedgeHerbaceous,71.262116,-156.602349,WGS84,6.3
D18,BARR,BARR_046,sedgeHerbaceous,71.249634,-156.451619,WGS84,4.4
D18,BARR,BARR_047,sedgeHerbaceous,71.25135,-156.479021,WGS84,5.3
D18,BARR,BARR_048,sedgeHerbaceous,71.260052,-156.58756,WGS84,6.7
D18,BARR,BARR_050,sedgeHerbaceous,71.263025,-156.61059,WGS84,7.7
D18,BARR,BARR_086,sedgeHerbaceous,71.249236,-156.441623,WGS84,4.4
D18,BARR,BARR_087,sedgeHerbaceous,71.248832,-156.37306,WGS84,3.4
