"","domainID","plotID","siteID","subsampleID","date2","Year","Month","Day","Time","totalWeight","subsampleWeight","nobycatch","individualCount","genus","scientificName","totalsub","percent","totalCount","totalSpeciesCount","doy"
"1","D18","BARR_087","BARR","BARR_087.20170719.0800.S.01",2017-07-19,"2017","07","19","16:00Z",11.28,0.835,11.28,17,"Aedes","Aedes nigripes",161695,0.000105136213240978,2184334.8502994,229.652694610778,200
"2","D18","BARR_087","BARR","BARR_087.20170719.0800.S.01",2017-07-19,"2017","07","19","16:00Z",11.28,0.835,11.28,11,"Aedes","Aedes punctor",161695,6.80293144500448e-05,2184334.8502994,148.59880239521,200
"3","D18","BARR_087","BARR","BARR_087.20170719.0800.S.01",2017-07-19,"2017","07","19","16:00Z",11.28,0.835,11.28,102,"Aedes","Aedes hexodontus",161695,0.00063081727944587,2184334.8502994,1377.91616766467,200
"4","D18","BARR_087","BARR","BARR_087.20170719.0800.S.01",2017-07-19,"2017","07","19","16:00Z",11.28,0.835,11.28,70,"Aedes","Aedes sp.",161695,0.000432913819227558,2184334.8502994,945.62874251497,200
"5","D18","BARR_086","BARR","BARR_086.20170719.0809.S.01",2017-07-19,"2017","07","19","16:09Z",15.94,0.85,15.91,118,"Aedes","Aedes sp.",161695,0.000729769009555026,3026549.94117647,2208.68235294118,200
"6","D18","BARR_086","BARR","BARR_086.20170719.0809.S.01",2017-07-19,"2017","07","19","16:09Z",15.94,0.85,15.91,72,"Aedes","Aedes hexodontus",161695,0.000445282785491203,3026549.94117647,1347.67058823529,200
"7","D18","BARR_086","BARR","BARR_086.20170719.0809.S.01",2017-07-19,"2017","07","19","16:09Z",15.94,0.85,15.91,10,"Aedes","Aedes punctor",161695,6.18448313182226e-05,3026549.94117647,187.176470588235,200
"8","D18","BARR_046","BARR","BARR_046.20170719.0814.S.01",2017-07-19,"2017","07","19","16:14Z",14.485,0.815,14.485,2,"Aedes","Aedes nigripes",161695,1.23689662636445e-05,2873806.22699386,35.5460122699387,200
"9","D18","BARR_046","BARR","BARR_046.20170719.0814.S.01",2017-07-19,"2017","07","19","16:14Z",14.485,0.815,14.485,54,"Aedes","Aedes sp.",161695,0.000333962089118402,2873806.22699386,959.742331288344,200
"10","D18","BARR_046","BARR","BARR_046.20170719.0814.S.01",2017-07-19,"2017","07","19","16:14Z",14.485,0.815,14.485,144,"Aedes","Aedes hexodontus",161695,0.000890565570982405,2873806.22699386,2559.31288343558,200
"11","D18","BARR_047","BARR","BARR_047.20170719.0820.S.01",2017-07-19,"2017","07","19","16:20Z",19.57,0.83,19.55,97,"Aedes","Aedes hexodontus",161695,0.000599894863786759,3808599.09638554,2284.75903614458,200
"12","D18","BARR_047","BARR","BARR_047.20170719.0820.S.01",2017-07-19,"2017","07","19","16:20Z",19.57,0.83,19.55,4,"Aedes","Aedes punctor",161695,2.4737932527289e-05,3808599.09638554,94.2168674698795,200
"13","D18","BARR_047","BARR","BARR_047.20170719.0820.S.01",2017-07-19,"2017","07","19","16:20Z",19.57,0.83,19.55,99,"Aedes","Aedes sp.",161695,0.000612263830050404,3808599.09638554,2331.86746987952,200
"14","D18","BARR_041","BARR","BARR_041.20170719.0826.S.01",2017-07-19,"2017","07","19","16:26Z",21.495,0.84,21.495,12,"Aedes","Aedes punctor",161695,7.42137975818671e-05,4137659.55357143,307.071428571429,200
"15","D18","BARR_041","BARR","BARR_041.20170719.0826.S.01",2017-07-19,"2017","07","19","16:26Z",21.495,0.84,21.495,101,"Aedes","Aedes sp.",161695,0.000624632796314048,4137659.55357143,2584.51785714286,200
"16","D18","BARR_041","BARR","BARR_041.20170719.0826.S.01",2017-07-19,"2017","07","19","16:26Z",21.495,0.84,21.495,87,"Aedes","Aedes hexodontus",161695,0.000538050032468536,4137659.55357143,2226.26785714286,200
"17","D18","BARR_042","BARR","BARR_042.20170719.0834.S.01",2017-07-19,"2017","07","19","16:34Z",14.215,0.875,14.215,40,"Aedes","Aedes sp.",161695,0.00024737932527289,2626850.77142857,649.828571428571,200
